model_type,combination,person_id,train_r2,train_rmse,train_mae,test_r2,test_rmse,test_mae,n_train,n_test,n_predictors
linear_regression,healthcare_data_quality_of_life,1,0.996421018310292,0.172246996499946,0.141770444885146,0.996692241068202,0.165782391813915,0.122278848491078,7,3,3
linear_regression,healthcare_data_quality_of_life,2,0.998927881497829,0.138646550423145,0.105243304923864,0.904303731023291,0.945861398802423,0.874116713379787,7,3,4
linear_regression,healthcare_data_quality_of_life,3,0.99988846109816,0.0607684346226077,0.0533245868360715,0.857390034006692,0.615907874232988,0.557745711501572,7,3,4
linear_regression,healthcare_data_quality_of_life,4,0.998963778202747,0.223477256333968,0.183173741755153,0.954823513736129,0.426627523195059,0.389910469238868,7,3,5
linear_regression,healthcare_data_quality_of_life,5,0.999473013347868,0.109907277055825,0.0895998422737705,0.997083925665035,0.359527266033053,0.328391160281385,7,3,4
linear_regression,healthcare_data_quality_of_life,6,0.999280882260772,0.174808755946443,0.137605096590521,0.988986282758614,0.905705062444976,0.669356871362226,7,3,5
linear_regression,healthcare_data_quality_of_life,7,0.999861164785407,0.0813289183525854,0.0762117879297232,0.971277390557186,1.14463871450305,0.901027664356443,7,3,5
linear_regression,healthcare_data_quality_of_life,8,1,1.44623937955858e-14,1.11656715619444e-14,0.977189364526838,1.29842547828932,1.0738582175111,7,3,6
linear_regression,healthcare_data_quality_of_life,9,0.998210290195946,0.274220771500179,0.226961206014538,0.995825394852703,0.457032479994697,0.449321623294229,7,3,4
linear_regression,healthcare_data_quality_of_life,10,0.999716832112042,0.122136335042441,0.105502733113982,0.998405436227322,0.428375935872697,0.4001386057891,7,3,5
linear_regression,healthcare_data_quality_of_life,11,0.999976352944983,0.0378755307749325,0.0336180969213607,0.990568968876622,0.679578630614861,0.569965586194035,7,3,5
linear_regression,healthcare_data_quality_of_life,12,1,2.42136212877517e-13,2.16208003881288e-13,0.96984216779746,1.35901900703724,1.28051591657536,7,3,6
linear_regression,healthcare_data_quality_of_life,13,1,1.47243343963095e-13,1.31957936641161e-13,0.940193362017568,1.92730999926553,1.60749790444273,7,3,6
linear_regression,healthcare_data_quality_of_life,14,1,2.080256122984e-13,1.62409768173737e-13,0.708648542740424,1.60908150306733,1.47235155074855,7,3,6
linear_regression,healthcare_data_quality_of_life,15,1,1.36437950191929e-13,9.44006777509848e-14,0.990497360672531,1.21327791528987,1.11424936386779,7,3,6
linear_regression,healthcare_data_quality_of_life,16,1,1.18045752367258e-12,8.27274756634974e-13,0.99962831003516,0.301106449876047,0.250707176532404,7,3,7
linear_regression,healthcare_data_hospitalization_risk,1,0.998708140988545,0.000437017411481971,0.000358951022023803,0.987139288782379,0.00106785598028434,0.000907300246922869,7,3,3
linear_regression,healthcare_data_hospitalization_risk,2,0.999568030744202,0.000407733311845741,0.000365169142497267,0.987097768188949,0.00125233300511442,0.00107762248211679,7,3,4
linear_regression,healthcare_data_hospitalization_risk,3,0.999483933357144,0.00053825040094336,0.000471669569536287,0.99526347949901,0.00116975559187828,0.000907548476949997,7,3,4
linear_regression,healthcare_data_hospitalization_risk,4,0.99985481589833,0.000303762907484917,0.000230705518149406,0.932173088935313,0.00661026500017677,0.00574324367702566,7,3,5
linear_regression,healthcare_data_hospitalization_risk,5,0.999192885930131,0.000684173382332538,0.000575632453208181,0.994637405750718,0.00149638932800862,0.00145283820685403,7,3,4
linear_regression,healthcare_data_hospitalization_risk,6,0.999971847404096,0.000184668786931866,0.000154369052934714,0.925907770201351,0.007185683801816,0.00697711655414256,7,3,5
linear_regression,healthcare_data_hospitalization_risk,7,0.999965827952398,0.000189903569816187,0.000154899794151828,0.992371753385984,0.00257121509514088,0.00239019714897385,7,3,5
linear_regression,healthcare_data_hospitalization_risk,8,1,1.93579684008399e-16,1.62568371462969e-16,0.932748382117041,0.00737456043851788,0.00697492473099212,7,3,6
linear_regression,healthcare_data_hospitalization_risk,9,0.99984794695312,0.000294903605554024,0.00027632153009778,0.999318110921019,0.000853646372376136,0.00072421200161775,7,3,4
linear_regression,healthcare_data_hospitalization_risk,10,0.999967104003212,0.000178597403790427,0.000130097795567257,0.98796837061951,0.00509498859785395,0.00407662892671651,7,3,5
linear_regression,healthcare_data_hospitalization_risk,11,0.999671506806197,0.000546988998124945,0.000467782010391715,0.992861379710182,0.00135594664889302,0.0012262008120625,7,3,5
linear_regression,healthcare_data_hospitalization_risk,12,1,7.20290228819607e-16,4.57966997657877e-16,0.972960317901266,0.00518608430907888,0.00428373763144801,7,3,6
linear_regression,healthcare_data_hospitalization_risk,13,0.999334584842389,0.00112447843833262,0.000859218899061366,0.985917713759049,0.00257511011823117,0.00236715775244124,7,3,6
linear_regression,healthcare_data_hospitalization_risk,14,1,4.84503196001723e-16,4.24263798696042e-16,0.992000759543132,0.00330801465308053,0.0032618527218872,7,3,6
