model_type,combination,mean_train_r2,sd_train_r2,mean_test_r2,sd_test_r2,mean_train_rmse,sd_train_rmse,mean_test_rmse,sd_test_rmse,mean_train_mae,mean_test_mae,n_models,mean_train_samples,mean_test_samples,rank_by_test_r2,rank
linear_regression,manufacturing_data_cycle_time,1,0,-23.3137160409775,63.7080358680951,1.73469301274768e-14,2.07593838220417e-14,3.00245835157475,3.89461332133382,1.3826241738814e-14,2.32501067521687,16,7,3,1,1
linear_regression,manufacturing_data_on_time_delivery,1,0,-13.1137903701497,35.1814817014796,7.68624769217293e-16,8.78732888200113e-16,0.084529284042443,0.132350267142078,6.66133814775094e-16,0.0673823557205708,16,7,3,1,1
linear_regression,manufacturing_data_throughput,1,0,-5.40002202999879,19.6560197914902,6.54493628997498e-14,6.37012500055505e-14,12.496478241301,14.9801794947463,5.43057662330934e-14,10.7528951062166,16,7,3,1,1
linear_regression,manufacturing_data_unit_cost,1,0,-10.9564209099436,30.4711479381711,1.07016217957015e-13,1.84768398377275e-13,9.24803808852278,12.2305161505303,8.38059780302761e-14,7.72813312320611,16,7,3,1,1
