model_type,combination,person_id,train_r2,train_rmse,train_mae,test_r2,test_rmse,test_mae,n_train,n_test,n_predictors
linear_regression,manufacturing_data_throughput,11,1,6.64380527104509e-14,5.88735409629797e-14,0.899902930089557,6.14753648541597,5.35023400936045,7,3,12
linear_regression,manufacturing_data_throughput,12,1,2.68559910672101e-14,1.82710989195454e-14,0.896646031482228,4.27576527107907,3.93412384716727,7,3,12
linear_regression,manufacturing_data_throughput,13,1,3.06205410315149e-14,2.03012210217172e-14,0.928325777911997,1.76686461339154,1.6141511858862,7,3,12
linear_regression,manufacturing_data_throughput,14,1,3.17764371615651e-14,2.23313431238889e-14,0.391005491418024,10.1148938423382,6.82654600301678,7,3,12
linear_regression,manufacturing_data_throughput,15,1,6.66548169167446e-14,5.6843418860808e-14,0.910789534134527,8.81432944102055,7.57749572293913,7,3,12
linear_regression,manufacturing_data_throughput,16,1,6.89942902777733e-14,5.07530525542929e-14,0.98353202044677,4.63047615027939,4.16350849775326,7,3,12
linear_regression,manufacturing_data_on_time_delivery,1,1,4.49997530004175e-16,3.96508223080413e-16,0.940982812984822,0.00916091916434061,0.00614859903381656,7,3,11
linear_regression,manufacturing_data_on_time_delivery,2,1,2.13967535169653e-16,1.90323947078598e-16,-0.499889806321512,0.0232871958852218,0.0186402207872184,7,3,12
linear_regression,manufacturing_data_on_time_delivery,3,1,1.18687833744435e-16,9.51619735392991e-17,0.798811750315717,0.0188849067760563,0.0163588401127666,7,3,12
linear_regression,manufacturing_data_on_time_delivery,4,1,1.37583211275339e-15,9.99200722162641e-16,-10.1977081569157,0.099879496284356,0.0813057962046219,7,3,12
linear_regression,manufacturing_data_on_time_delivery,5,1,1.14842362650565e-15,1.03092138000907e-15,-129.329574766523,0.320603479861336,0.266399337885365,7,3,12
linear_regression,manufacturing_data_on_time_delivery,6,1,3.58527637910089e-16,3.01346249541114e-16,0.858445173522259,0.0119227724297564,0.00956004686584651,7,3,12
linear_regression,manufacturing_data_on_time_delivery,7,1,2.44681237502027e-16,1.90323947078598e-16,0.804245356732072,0.0289745821959246,0.0271692580469176,7,3,12
linear_regression,manufacturing_data_on_time_delivery,8,1,4.7660222439474e-16,3.96508223080413e-16,-5.30755537071587,0.0807936814930801,0.0704148506860384,7,3,12
linear_regression,manufacturing_data_on_time_delivery,9,1,4.21717765480305e-16,3.01346249541114e-16,0.492910362064121,0.0441745810773964,0.0331031339031345,7,3,12
linear_regression,manufacturing_data_on_time_delivery,10,1,2.01245013359267e-16,1.74463618155382e-16,-0.941921550741573,0.0307209028783401,0.0237971154008542,7,3,12
linear_regression,manufacturing_data_on_time_delivery,11,1,6.10983019233829e-16,4.75809867696496e-16,-0.471793105791989,0.0333910922840372,0.0309200745143266,7,3,12
linear_regression,manufacturing_data_on_time_delivery,12,1,3.3981841975188e-15,3.29894841602904e-15,-66.709861626842,0.494872757571408,0.371015514809574,7,3,12
linear_regression,manufacturing_data_on_time_delivery,13,1,4.42102223552862e-16,3.33066907387547e-16,-1.88591894452162,0.0624230077008886,0.0479733768942036,7,3,12
linear_regression,manufacturing_data_on_time_delivery,14,1,4.92947596009788e-16,3.1720657846433e-16,0.825275043626679,0.0254763610288983,0.0243879957127546,7,3,12
linear_regression,manufacturing_data_on_time_delivery,15,1,2.18043473512612e-16,2.06184276001815e-16,0.490339684044595,0.0392986515696514,0.0293128363677995,7,3,12
linear_regression,manufacturing_data_on_time_delivery,16,1,2.12605328082506e-15,1.95082045755563e-15,0.31256722268807,0.0286041564783966,0.0216106943038944,7,3,12
linear_regression,manufacturing_data_unit_cost,1,1,1.3427995533605e-14,9.13554945977272e-15,-0.263877415335487,2.38028102618802,2.0017387862797,7,3,12
linear_regression,manufacturing_data_unit_cost,2,1,1.89900533991096e-14,1.82710989195454e-14,0.175069315287379,2.74521403531212,2.31134588563458,7,3,12
linear_regression,manufacturing_data_unit_cost,3,1,3.36504603569884e-14,2.74066483793182e-14,-85.5847524700553,34.83522645671,30.1367720306507,7,3,12
linear_regression,manufacturing_data_unit_cost,4,1,7.59602135964384e-15,6.09036630651514e-15,0.687407250399186,1.88663442195918,1.39448826123626,7,3,12
linear_regression,manufacturing_data_unit_cost,5,1,2.1982576092337e-14,1.92861599706313e-14,0.929430137240474,2.44651223488224,2.0523684337933,7,3,12
linear_regression,manufacturing_data_unit_cost,6,1,9.45697032717437e-14,8.5265128291212e-14,0.347615378872092,3.46487038319704,3.08901143790857,7,3,12
